"SiteCode","S","Sprey","Spred","L","D","C","G","sG","V","sV","Cc","nCc","Bc","nBc","NODF2","weighted_NODF","Qb","norm_Qb","nb_of_modules","Qn"
"CS178",112,62,50,830,7.4107,0.2677,15.6,10.212,12.5806,11.4341,0.00387380504754799,0.429992360277827,75.8928571428572,0.0253907183482292,63.2823121122311,37.7243546264452,0.405600356629553,0.594942865240964,5,0.236219592373439
"CS18",110,62,48,736,6.6909,0.2473,14.3333,10.6298,11.0968,10.4563,0.0039552288988655,0.43111994997634,73.5727272727273,0.0256619209182865,64.40836503151,34.4173764872544,0.343581611106163,0.47412462798015,5,0.225949837750135
"CS188",119,64,55,1039,8.7311,0.2952,17.8909,12.1772,15.375,13.7616,0.00379523223700934,0.447837403967102,74.6806722689076,0.0219519906728123,71.2934556448086,40.5793594235537,0.326852703190625,0.445050223749604,5,0.22749871934695
"CS189",127,63,64,1165,9.1732,0.2889,17.2031,11.9592,17.4762,14.8984,0.00353506324880503,0.445417969349434,80.511811023622,0.0206123428119872,68.6645253382781,37.4407988633029,0.31034098596138,0.41873257766094,5,0.217831036272038
"CS192",107,64,43,842,7.8692,0.306,18.5814,12.4943,12.4844,10.3479,0.0043048797334128,0.456317251741756,64.5514018691589,0.0243958434879663,72.2815627955606,45.001875060754,0.30979373052647,0.448492513157121,4,0.222382170453994
"CS194",103,63,40,672,6.5243,0.2667,15.8,12.1343,10.0317,8.8006,0.00429972835378311,0.438572292085877,67,0.0277088502894955,67.3162765806144,41.5260768180571,0.361349045003868,0.4852650992984,6,0.232021611120013
"CS195",137,64,73,1132,8.2628,0.2423,14.5068,12.3312,16.5469,15.2814,0.00320065309425442,0.435288820818601,90.2189781021898,0.0198895454369907,68.4081956156772,37.4876537358037,0.364309587611192,0.484347395307162,4,0.24063715747302
"CS196",99,62,37,678,6.8485,0.2956,17.3243,13.2226,10.3387,8.0956,0.00458413943491775,0.449245664621939,61.6262626262626,0.0280629611230704,69.8662762915715,45.2448792248831,0.337912641851063,0.425296328426979,5,0.233561542149673
"CS2",107,64,43,737,6.8879,0.2678,16.1395,13.3445,10.8438,8.5657,0.00418787552172896,0.443914805303269,67.8598130841121,0.0256461878624762,67.1405224388142,35.5921608414072,0.400264322398418,0.525808760164839,5,0.251461684757784
"CS201",118,64,54,1142,9.678,0.3304,20.1481,14.4802,17,12.4976,0.00394088748243668,0.461083835445092,70.0932203389831,0.020992279227009,75.3551681300199,43.3811533409117,0.32202324232051,0.417116076928116,5,0.220396470858564
"CS212",123,64,59,1026,8.3415,0.2717,16.3898,12.2517,15.1094,14.1434,0.00362947024377363,0.442795369740383,78.7235772357724,0.0215444929490346,71.288663211032,38.0870298892934,0.397683191402966,0.584361624068738,3,0.22444066821447
"CS40",99,61,38,570,5.7576,0.2459,14,11.3733,8.7213,7.385,0.00437035602446489,0.42829489039756,67.1212121212121,0.0302347802347802,62.545768742929,37.4571765620953,0.416585589087973,0.565606256100187,4,0.248752755950026
"CS43",93,62,31,552,5.9355,0.2872,16.8065,13.9366,8.4032,6.4768,0.00493730105349969,0.454231696921972,56.494623655914,0.0308713790469475,69.9939900286806,43.7977197195722,0.357326355237119,0.473899820837218,4,0.267630903216537
"CS5",81,54,27,463,5.716,0.3176,16.1481,9.4042,8.0741,6.4218,0.00532434485290701,0.425947588232561,55.9753086419753,0.0406206884194306,59.2860932255354,35.2285857690376,0.386087883137926,0.77881015522283,3,0.226275145189799
"CS56",108,64,44,771,7.1389,0.2738,16.5227,11.9232,11.3594,9.673,0.00412190397651887,0.44104372548752,69.5,0.0256552233296419,66.3650057226707,41.3231217250423,0.433462576727199,0.737114198855207,3,0.240107922176456
"CS62",105,63,42,720,6.8571,0.2721,16.1429,11.4115,10.7619,8.366,0.00423139509693022,0.440065090080743,67.5809523809524,0.026585740511783,59.873153997002,34.054919065791,0.350414892911695,0.482557463829617,6,0.26107064853247
"CS67",102,63,39,694,6.8039,0.2825,16.7949,12.7799,10.3968,7.9221,0.00445074902917042,0.449525651946212,63.1764705882353,0.0268151403175871,64.621805366437,36.2925836244462,0.422336124426883,0.614758701453846,4,0.246542742264436
"CS70",103,63,40,641,6.2233,0.2544,15.025,11.7003,9.5397,8.4869,0.00436772051830725,0.445507492867339,64.747572815534,0.026777325399311,69.7883173546576,39.4578515017385,0.451036957827577,0.66041361216869,5,0.238520934327424
"CS72",79,54,25,453,5.7342,0.3356,17.12,9.8248,7.9259,6.2972,0.00558445474385946,0.435587470021038,52.5443037974684,0.0413084149351166,63.0534156839483,43.2975979508694,0.337620062368782,0.447503317038804,4,0.213577605031007
"CS75",114,64,50,851,7.4649,0.2659,16.02,13.0673,12.5156,9.5119,0.00388469839146676,0.438970918235744,74.0087719298246,0.0239743349302963,62.9649584918852,35.4539844332545,0.409877322931198,0.544921346673375,5,0.251452226539548
"CS76",105,62,43,696,6.6286,0.2611,15.186,11.0932,10.5323,8.9712,0.00409547165787859,0.425929052419374,72.2285714285714,0.0281922605107617,60.2007499885461,31.5931303263786,0.433388344686125,0.588138157432351,5,0.233897502163416
"CS78",98,62,36,582,5.9388,0.2608,15.1667,12.4131,8.8065,7.1743,0.0045310416381827,0.439511038903722,63.2959183673469,0.0296468001720595,65.8994664464703,39.2249591041685,0.395354842433466,0.556112563458528,4,0.25645386359672
"CS79",110,63,47,777,7.0636,0.2624,15.5319,12.9545,11.5873,8.8493,0.00403788973332834,0.440129980932789,70.8727272727273,0.0248501848782354,63.6800657139723,33.2992930149395,0.530382150900671,0.701647594412931,5,0.245393131919685
"CS80",111,64,47,853,7.6847,0.2836,17.1489,13.4794,12.5938,10.2488,0.00408885441120149,0.449773985232164,68.9099099099099,0.0237784368219151,70.9131667984516,37.6393965543458,0.38030674926193,0.512330704347205,4,0.23786551237924
"CS81",109,64,45,820,7.5229,0.2847,17.2222,12.5134,12.1094,9.9173,0.00409037718695121,0.441760736190731,70.1284403669725,0.0252988601612455,66.6779688170574,37.4999950005636,0.419467408506182,0.65250688128312,3,0.219697814776275
