"site","bAut","det","fish","mInv","sInv","zooP","sum_tot","bAut_prop","det_prop","fish_prop","mInv_prop","sInv_prop","zooP_prop"
"BRA8",22.77,2.88,4.1,29.51,18.83,5.87,83.96,0.27120057170081,0.0343020485945688,0.0488327775131015,0.351476893758933,0.224273463554073,0.0699142448785136
"BRA9",52.48,6.47,5.85,47.58,25.44,6.35,144.17,0.364014704862315,0.0448775750849691,0.0405770964833183,0.330027051397656,0.176458347783866,0.0440452243878754
"BZE1",3.7,0.19,1.66,7.88,2.52,2.01,17.96,0.206013363028953,0.0105790645879733,0.0924276169265033,0.438752783964365,0.140311804008909,0.111915367483296
"BZE2",6.4,0.26,4.24,17.51,4.6,3.77,36.78,0.174007612833061,0.00706905927134312,0.115280043501903,0.476073953235454,0.125067971723763,0.102501359434475
"BZE3",11.42,11.04,23.9,266.53,32.73,13.66,359.28,0.0317857938098419,0.0307281229124916,0.0665219327543977,0.741844800712536,0.0910988643954576,0.038020485415275
"BZE4",46.96,0.5,4.96,34.18,33.09,6.26,125.95,0.372846367606193,0.00396982929734021,0.0393807066296149,0.271377530766177,0.262723302897975,0.0497022628026995
"BZE6",10.13,0.55,3.11,13.63,9.35,3.34,40.11,0.25255547245076,0.0137122911992022,0.0775367738718524,0.339815507354774,0.233108950386437,0.0832710047369733
"CAR10",46.55,0.67,6.56,69.88,7.29,9.24,140.19,0.332049361580712,0.00477922819031315,0.0467936372066481,0.498466367073258,0.0520008559811684,0.0659105499679007
"CAR12",20.83,0.31,1.85,14.05,4.27,4.71,46.02,0.452629291612342,0.00673620165145589,0.040199913081269,0.305302042590178,0.0927857453281182,0.102346805736636
"CAR13",86.44,3.79,28.79,201.33,33.69,14.34,368.38,0.234649003746132,0.0102882892665183,0.0781529941907813,0.546528041696075,0.0914544763559368,0.0389271947445572
"CAR15",46.11,1.84,8.93,35.63,10.35,5.1,107.96,0.427102630603927,0.0170433493886625,0.0827158206743238,0.330029640607632,0.0958688403112264,0.0472397184142275
"CAR16",56.3,0.57,6.89,29.83,12.99,7.27,113.85,0.494510320597277,0.00500658761528327,0.060518225735617,0.262011418533158,0.114097496706192,0.0638559508124726
"CAR17",57.06,2.41,21.46,67.87,25.45,8.99,183.24,0.31139489194499,0.013152150185549,0.117114167212399,0.370388561449465,0.138888888888889,0.0490613403187077
"CAR18",27.28,0.3,6.51,44.95,11.07,5.14,95.25,0.286404199475066,0.0031496062992126,0.0683464566929134,0.471916010498688,0.116220472440945,0.0539632545931759
"CAR19",53.76,3.71,31.26,198.19,41.38,16.24,344.54,0.156034132466477,0.0107679804957334,0.0907296685435653,0.575230742439194,0.120102165205782,0.0471353108492483
"CAR20",38.63,4.55,11.06,50.9,7.67,8.11,120.92,0.319467416473702,0.037628183923255,0.0914654316903738,0.420939464108501,0.0634303671849156,0.0670691366192524
"CAR21",73.26,0.58,5.79,60.51,16.15,16.84,173.13,0.423150233928262,0.0033500837520938,0.0334430774562468,0.34950615144689,0.093282504476405,0.0972679489401028
"CAR22",46.31,0.98,6.54,88.81,18.56,21.17,182.37,0.253934309371059,0.00537369084827548,0.0358611613752262,0.486977024729945,0.101771124636728,0.116082689038767
"CAR24",22.27,0.04,4.34,22.82,10.64,5.42,65.53,0.339844346101022,0.000610407446970853,0.0662292079963376,0.348237448496872,0.162368380894247,0.0827102090645506
"CAR25",35.13,0.17,2.95,14.64,2.9,4.08,59.87,0.586771337898781,0.0028394855520294,0.0492734257558042,0.244529814598296,0.0484382829463838,0.0681476532487055
"CAR26",22.67,3.23,19.68,82.72,10.95,53.08,192.33,0.117870327042063,0.0167940518899808,0.102324130400874,0.430094109083346,0.0569333957260958,0.275983985857641
"CAR4",27.51,0.13,11.03,28.71,19.84,8.84,96.06,0.286383510306059,0.00135332084114095,0.114824068290652,0.298875702685821,0.206537580678742,0.0920258171975848
"CAR5",21.3,0.25,2.75,16.02,3.22,6.14,49.68,0.428743961352657,0.00503220611916264,0.0553542673107891,0.322463768115942,0.0648148148148148,0.123590982286634
"CAR6",19.34,0.44,6.66,30.77,6.32,14.14,77.67,0.249002188747264,0.00566499291875885,0.085747392815759,0.396163254795932,0.0813698982876271,0.182052272434659
"CAR7",26.83,1.86,4.95,33.85,9.12,4.64,81.25,0.330215384615385,0.0228923076923077,0.0609230769230769,0.416615384615385,0.112246153846154,0.0571076923076923
