"family","genus","species","size","temperature","Ic_median","In_median","Ip_median"
"Pomacentridae","Abudefduf","Abudefduf_sexfasciatus",15,27,0.536521167322704,0.0958181820847834,0.0118802031593085
"Pomacentridae","Abudefduf","Abudefduf_sexfasciatus",15,28,0.543232634832655,0.0967148979881739,0.0122005386090533
"Pomacentridae","Abudefduf","Abudefduf_sexfasciatus",15,29,0.523227909256769,0.0931199299471039,0.0115818855224176
"Pomacentridae","Abudefduf","Abudefduf_sordidus",5,28,0.0674534815493745,0.0117450068180287,0.00188247361640455
"Pomacentridae","Abudefduf","Abudefduf_sordidus",12,25,0.357552834614049,0.0619897053969478,0.00993623340851515
"Pomacentridae","Abudefduf","Abudefduf_sordidus",12,27,0.38962986075403,0.0671938890031916,0.0106195837469288
"Pomacentridae","Abudefduf","Abudefduf_sordidus",12,28,0.388034308929643,0.0660589097268477,0.0109612551880365
"Pomacentridae","Abudefduf","Abudefduf_sordidus",15,21,0.578992099936064,0.0991306801232838,0.0164051901017959
"Pomacentridae","Abudefduf","Abudefduf_sordidus",15,25,0.660799053816059,0.115597212858685,0.0191307751402169
"Pomacentridae","Abudefduf","Abudefduf_sordidus",15,28,0.673679664362093,0.11464111439668,0.0185768557503753
"Pomacentridae","Abudefduf","Abudefduf_sordidus",20,21,1.3730355613096,0.228857331766345,0.0378032695965837
"Pomacentridae","Abudefduf","Abudefduf_sordidus",20,25,1.30075570049507,0.226496631216023,0.0367342583430052
"Pomacentridae","Abudefduf","Abudefduf_sordidus",20,28,1.37648698842162,0.235966087276929,0.0390959889053552
"Pomacentridae","Abudefduf","Abudefduf_sparoides",8,28,0.121253492084457,0.0214335183164257,0.00269920579477415
"Pomacentridae","Abudefduf","Abudefduf_sparoides",10,27,0.173401393904321,0.0306507117881476,0.00391587432431622
"Pomacentridae","Abudefduf","Abudefduf_sparoides",12,27,0.266776055560877,0.047891796680654,0.00608096415826529
"Pomacentridae","Abudefduf","Abudefduf_troschelii",5,27,0.0519940479955848,0.00948810450832,0.00125492884133283
"Pomacentridae","Abudefduf","Abudefduf_troschelii",5,28,0.0564820817314905,0.0102175133926502,0.00141310277104837
"Pomacentridae","Abudefduf","Abudefduf_troschelii",8,20,0.0978860587127392,0.017883186935971,0.00229812619078349
"Pomacentridae","Abudefduf","Abudefduf_troschelii",8,21,0.105980538438981,0.0193208129150796,0.00250764608703016
